CodigoExterno,Estado,CodigoEstado,Organismo,Sector,Region,Tipo,Rubro,Moneda,MontoEstimado,NumeroOferentes,CantidadReclamos,FechaCierre,Periodo,MontoAdjudicado
707426-7-LP26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región Aysén del General Carlos Ibáñez del Campo,LP,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,115766205.0,1.0,30.0,2026-04-20,2026-03,1.0
707425-23-L126,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de los Lagos ,L1,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,6751916.0,3.0,30.0,2026-03-30,2026-03,5942779.0
707425-22-R126,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de los Lagos ,LR,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,,11.0,30.0,2026-04-17,2026-03,80000000.0
707425-22-LR26,Adjudicada,9,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de los Lagos ,LR,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,,11.0,30.0,2026-04-17,2026-03,80000000.0
707425-21-L126,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de los Lagos ,L1,"EQUIPAMIENTO PARA EL ACONDICIONAMIENTO, DISTRIBUCIÓN Y FILTRADO DE FLUIDOS",CLP,3867500.0,2.0,30.0,2026-03-23,2026-03,3186820.0
707424-7-LP26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de Los Ríos,LP,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,338122077.0,1.0,30.0,2026-04-20,2026-03,96605402.0
707423-31-LE26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,LE,"SERVICIOS DE TRANSPORTE, ALMACENAJE Y CORREO",CLP,7000000.0,3.0,30.0,2026-04-06,2026-03,400000.0
707423-30-LE26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,LE,SERVICIOS DE CONSTRUCCIÓN Y MANTENIMIENTO,CLP,13994400.0,6.0,30.0,2026-04-06,2026-03,8384000.0
707423-28-LE26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,LE,SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA,CLP,,2.0,30.0,2026-03-30,2026-03,13825000.0
707423-26-LE26,Adjudicada,8,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Otros,Región de la Araucanía ,LE,"COMBUSTIBLES, LUBRICANTES Y ANTICORROSIVOS",CLP,,3.0,30.0,2026-04-02,2026-03,12605041.0
